repeat;n_train;n_ulb;n_test;d;c;mv_risk;gibbs;n_min;disagreement;disagreement_t;tandem_risk;n2_min;n2_min_t;pbkl;c1;c2;tnd;ctd;dis;sh;best_tree;worst_tree
1;11721;14327;6513;123;2;0.16659;0.21473;4228.00000;0.19001;0.19021;0.12032;1476.00000;15803.00000;0.48094;0.61356;0.61762;0.62096;1.00000;0.61233;-1.00000;0.20103;0.22549
2;11721;14327;6513;123;2;0.17304;0.21186;4243.00000;0.18805;0.18774;0.11756;1487.00000;15814.00000;0.47487;0.60635;0.60678;0.60818;1.00000;0.60497;-1.00000;0.19514;0.23084
3;11721;14327;6513;123;2;0.16352;0.21700;4244.00000;0.18939;0.18641;0.12234;1482.00000;15809.00000;0.48556;0.62097;0.62419;0.62963;1.00000;0.62897;-1.00000;0.20454;0.23141
4;11721;14327;6513;123;2;0.17335;0.21130;4194.00000;0.18806;0.18876;0.11716;1454.00000;15781.00000;0.47399;0.60543;0.60676;0.60794;1.00000;0.60127;-1.00000;0.19927;0.22532
5;11721;14327;6513;123;2;0.16705;0.21910;4202.00000;0.19113;0.18918;0.12389;1475.00000;15802.00000;0.49017;0.62612;0.63040;0.63679;1.00000;0.63285;-1.00000;0.20682;0.23488
6;11721;14327;6513;123;2;0.17611;0.21714;4234.00000;0.19020;0.19220;0.12202;1472.00000;15799.00000;0.48589;0.62077;0.62377;0.62867;1.00000;0.61839;-1.00000;0.20441;0.22842
7;11721;14327;6513;123;2;0.17519;0.21374;4220.00000;0.18875;0.18970;0.11926;1474.00000;15801.00000;0.47890;0.61183;0.61357;0.61634;1.00000;0.60926;-1.00000;0.20400;0.22755
8;11721;14327;6513;123;2;0.16705;0.21637;4231.00000;0.19048;0.18892;0.12122;1477.00000;15804.00000;0.48431;0.61809;0.62085;0.62487;1.00000;0.62161;-1.00000;0.20372;0.23219
9;11721;14327;6513;123;2;0.16521;0.21366;4246.00000;0.19046;0.18867;0.11821;1478.00000;15805.00000;0.47859;0.60956;0.61024;0.61149;1.00000;0.61061;-1.00000;0.19931;0.22922
10;11721;14327;6513;123;2;0.17350;0.21284;4232.00000;0.18673;0.18633;0.11983;1460.00000;15787.00000;0.47696;0.61116;0.61551;0.61955;1.00000;0.61193;-1.00000;0.19467;0.23275
11;11721;14327;6513;123;2;0.17012;0.21594;4223.00000;0.19086;0.18892;0.12080;1469.00000;15796.00000;0.48346;0.61655;0.61987;0.62342;1.00000;0.61991;-1.00000;0.20290;0.23102
12;11721;14327;6513;123;2;0.17089;0.21368;4228.00000;0.18804;0.18568;0.11918;1477.00000;15804.00000;0.47873;0.61226;0.61292;0.61584;1.00000;0.61672;-1.00000;0.19585;0.22737
13;11721;14327;6513;123;2;0.16889;0.21210;4218.00000;0.18628;0.18597;0.11888;1473.00000;15800.00000;0.47551;0.60930;0.61144;0.61468;1.00000;0.60973;-1.00000;0.19494;0.22481
14;11721;14327;6513;123;2;0.16736;0.21490;4208.00000;0.18914;0.18930;0.12029;1496.00000;15823.00000;0.48139;0.61487;0.61636;0.61986;1.00000;0.61499;-1.00000;0.19925;0.23072
15;11721;14327;6513;123;2;0.17718;0.21211;4214.00000;0.18886;0.18734;0.11754;1461.00000;15788.00000;0.47556;0.60687;0.60807;0.60930;1.00000;0.60715;-1.00000;0.19949;0.22694
16;11721;14327;6513;123;2;0.17012;0.21267;4207.00000;0.18494;0.18703;0.12001;1471.00000;15798.00000;0.47677;0.61254;0.61506;0.61982;1.00000;0.61019;-1.00000;0.19825;0.22440
17;11721;14327;6513;123;2;0.17442;0.21057;4240.00000;0.18317;0.18406;0.11879;1480.00000;15807.00000;0.47220;0.60741;0.60981;0.61396;1.00000;0.60678;-1.00000;0.19812;0.22723
18;11721;14327;6513;123;2;0.16459;0.21606;4238.00000;0.18908;0.18685;0.12156;1474.00000;15801.00000;0.48363;0.61852;0.62171;0.62654;1.00000;0.62426;-1.00000;0.20019;0.23268
19;11721;14327;6513;123;2;0.17780;0.21141;4243.00000;0.18907;0.18697;0.11666;1472.00000;15799.00000;0.47392;0.60405;0.60455;0.60489;1.00000;0.60458;-1.00000;0.19819;0.22630
20;11721;14327;6513;123;2;0.17872;0.21254;4224.00000;0.18652;0.18963;0.11912;1468.00000;15795.00000;0.47640;0.61043;0.61260;0.61601;1.00000;0.60438;-1.00000;0.19518;0.22604
